region,district,date,Market,source,commodity,Price,market_day,Year,month,week,Type
Bono East,Kintampo North Municipal,05-08-2025,Kintampo ,retail,white maize,7.35,2025-08-05,2025,8,1,retail
Bono East,Kintampo North Municipal,05-08-2025,Kintampo ,retail,Maize Yellow,7.12,2025-08-05,2025,8,1,retail
Bono East,Kintampo North Municipal,05-08-2025,Kintampo ,retail,Rice Local perfumed,15.12,2025-08-05,2025,8,1,retail
Bono East,Kintampo North Municipal,05-08-2025,Kintampo ,retail,Groundnut Red,14.61666667,2025-08-05,2025,8,1,retail
Greater Accra,AMA-Okaikoi South,04-08-2025,Tuesday Market,retail,white maize,12.0,2025-08-04,2025,8,1,retail
Greater Accra,AMA-Okaikoi South,04-08-2025,Tuesday Market,retail,Maize Yellow,14.0,2025-08-04,2025,8,1,retail
Greater Accra,AMA-Okaikoi South,04-08-2025,Tuesday Market,retail,Rice Local perfumed,18.0,2025-08-04,2025,8,1,retail
Greater Accra,AMA-Okaikoi South,04-08-2025,Tuesday Market,retail,Rice Local non perfumed,14.0,2025-08-04,2025,8,1,retail
Greater Accra,TMA-Tema East,27-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,white maize,12.0,2025-07-27,2025,7,4,retail
Greater Accra,TMA-Tema East,27-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Maize Yellow,13.52333333,2025-07-27,2025,7,4,retail
Greater Accra,TMA-Tema East,27-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Rice Local perfumed,24.66666667,2025-07-27,2025,7,4,retail
Greater Accra,TMA-Tema East,27-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Groundnut Red,38.66666667,2025-07-27,2025,7,4,retail
Greater Accra,TMA-Tema East,27-07-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Soya Bean,21.33333333,2025-07-27,2025,7,4,retail
Central,Mfantsiman Municipal,06-08-2025,Mankessim,retail,white maize,6.5225,2025-08-06,2025,8,1,retail
Central,Mfantsiman Municipal,06-08-2025,Mankessim,retail,Maize Yellow,7.115,2025-08-06,2025,8,1,retail
Central,Mfantsiman Municipal,06-08-2025,Mankessim,retail,Rice Local perfumed,19.75,2025-08-06,2025,8,1,retail
Central,Mfantsiman Municipal,06-08-2025,Mankessim,retail,Rice Local non perfumed,15.33333333,2025-08-06,2025,8,1,retail
Central,Mfantsiman Municipal,06-08-2025,Mankessim,retail,Groundnut Red,27.53,2025-08-06,2025,8,1,retail
Central,Mfantsiman Municipal,06-08-2025,Mankessim,retail,Soya Bean,22.02333333,2025-08-06,2025,8,1,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,07-08-2025,BIBIANI,retail,white maize,9.086666667,2025-08-07,2025,8,1,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,07-08-2025,BIBIANI,retail,Maize Yellow,10.06333333,2025-08-07,2025,8,1,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,07-08-2025,BIBIANI,retail,Rice Local perfumed,19.72333333,2025-08-07,2025,8,1,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,07-08-2025,BIBIANI,retail,Rice Local non perfumed,17.66666667,2025-08-07,2025,8,1,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,07-08-2025,BIBIANI,retail,Groundnut Red,15.55666667,2025-08-07,2025,8,1,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,07-08-2025,BIBIANI,retail,Soya Bean,25.0,2025-08-07,2025,8,1,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,07-08-2025,BIBIANI,retail,Unshelled Groundnut,13.49666667,2025-08-07,2025,8,1,retail
North East,East Mamprusi Municipal,07-08-2025,Gbintiri ,retail,white maize,5.383333333,2025-08-07,2025,8,1,retail
North East,East Mamprusi Municipal,07-08-2025,Gbintiri ,retail,Maize Yellow,5.195,2025-08-07,2025,8,1,retail
North East,East Mamprusi Municipal,07-08-2025,Gbintiri ,retail,Soya Bean,7.756666667,2025-08-07,2025,8,1,retail
Ahafo,Asunafo North Municipal,08-08-2025,Goaso,retail,white maize,7.21,2025-08-08,2025,8,2,retail
Ahafo,Asunafo North Municipal,08-08-2025,Goaso,retail,Maize Yellow,7.21,2025-08-08,2025,8,2,retail
Ahafo,Asunafo North Municipal,08-08-2025,Goaso,retail,Rice Local perfumed,16.33333333,2025-08-08,2025,8,2,retail
Ahafo,Asunafo North Municipal,08-08-2025,Goaso,retail,Groundnut Red,25.0,2025-08-08,2025,8,2,retail
Ahafo,Asunafo North Municipal,08-08-2025,Goaso,retail,Unshelled Groundnut,16.67,2025-08-08,2025,8,2,retail
Upper East,Bolgatanga Municipal,10-08-2025,Bolga,retail,white maize,5.286666667,2025-08-10,2025,8,2,retail
