region,district,date,Market,source,commodity,Price,market_day,Year,month,week,Type
Western North,Bibiani Anhwiaso Bekwai Municipal,21-08-2025,BIBIANI ,retail,Soya Bean,13.72333333,2025-08-21,2025,8,3,retail
Western North,Bibiani Anhwiaso Bekwai Municipal,21-08-2025,BIBIANI ,retail,Unshelled Groundnut,15.7,2025-08-21,2025,8,3,retail
Greater Accra,TMA-Tema East,19-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,white maize,12.26666667,2025-08-19,2025,8,3,retail
Greater Accra,TMA-Tema East,19-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Maize Yellow,13.52333333,2025-08-19,2025,8,3,retail
Greater Accra,TMA-Tema East,19-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Rice Local perfumed,20.0,2025-08-19,2025,8,3,retail
Greater Accra,TMA-Tema East,19-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Groundnut Red,36.0,2025-08-19,2025,8,3,retail
Greater Accra,TMA-Tema East,19-08-2025,TEMA COMMUNITY ONE MAIN MARKET,retail,Soya Bean,22.66666667,2025-08-19,2025,8,3,retail
Upper East,Bolgatanga Municipal,23-08-2025,Bolga,retail,white maize,5.17,2025-08-23,2025,8,4,retail
Upper East,Bolgatanga Municipal,23-08-2025,Bolga,retail,Maize Yellow,5.17,2025-08-23,2025,8,4,retail
Upper East,Bolgatanga Municipal,23-08-2025,Bolga,retail,Rice Local perfumed,15.52,2025-08-23,2025,8,4,retail
Upper East,Bolgatanga Municipal,23-08-2025,Bolga,retail,Rice Local non perfumed,10.91666667,2025-08-23,2025,8,4,retail
Upper East,Bolgatanga Municipal,23-08-2025,Bolga,retail,Soya Bean,11.95333333,2025-08-23,2025,8,4,retail
Bono East,Techiman Municipal,20-08-2025,,retail,white maize,6.98,2025-08-20,2025,8,3,retail
Bono East,Techiman Municipal,20-08-2025,,retail,Maize Yellow,7.32,2025-08-20,2025,8,3,retail
Bono East,Techiman Municipal,20-08-2025,,retail,Rice Local perfumed,13.33,2025-08-20,2025,8,3,retail
Bono East,Techiman Municipal,20-08-2025,,retail,Rice Local non perfumed,10.71,2025-08-20,2025,8,3,retail
Bono East,Techiman Municipal,20-08-2025,,retail,Groundnut Red,19.58,2025-08-20,2025,8,3,retail
Bono East,Techiman Municipal,20-08-2025,,retail,Soya Bean,9.15,2025-08-20,2025,8,3,retail
Bono East,Techiman Municipal,20-08-2025,,retail,Unshelled Groundnut,18.05666667,2025-08-20,2025,8,3,retail
